date,gagnant,duree,coups
2025-04-15 09:19:17,X,7.64,"[(5, 0), (4, 0), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 6), (5, 3), (4, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (4, 6), (4, 6), (5, 1), (4, 0), (4, 1), (5, 2), (4, 3), (5, 4), (5, 5), (3, 6), (5, 4), (5, 2)]"
2025-04-15 09:19:25,X,7.21,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (5, 0), (5, 1), (4, 0), (4, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (4, 1), (5, 4), (4, 0), (3, 1), (5, 2), (4, 3), (4, 4), (5, 5), (5, 6), (4, 4), (5, 2)]"
2025-04-15 09:19:35,X,8.3,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (4, 3), (5, 6), (5, 0), (5, 1), (5, 2), (3, 3), (5, 4), (5, 5), (4, 6), (3, 3), (5, 1), (5, 0), (4, 1), (5, 2), (2, 3), (5, 4), (5, 5), (4, 6), (5, 2), (5, 4), (5, 0), (4, 1), (4, 2), (2, 3), (4, 4), (5, 5), (4, 6), (2, 3), (5, 5)]"
2025-04-15 09:19:42,X,6.37,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (4, 3), (5, 6), (5, 0), (5, 1), (5, 2), (3, 3), (5, 4), (5, 5), (4, 6), (5, 1), (5, 4), (5, 0), (4, 1), (5, 2), (3, 3), (4, 4), (5, 5), (4, 6), (4, 6), (5, 5)]"
2025-04-15 09:19:50,X,5.95,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (5, 2), (5, 6), (5, 0), (5, 1), (4, 2), (4, 3), (5, 4), (5, 5), (4, 6), (5, 0), (5, 4), (4, 0), (5, 1), (4, 2), (4, 3), (4, 4), (5, 5), (4, 6), (4, 3), (5, 5)]"
2025-04-15 09:19:56,X,5.73,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (5, 1), (5, 6), (5, 0), (4, 1), (5, 2), (4, 3), (5, 4), (5, 5), (4, 6), (5, 2), (5, 4), (5, 0), (4, 1), (4, 2), (4, 3), (4, 4), (5, 5), (4, 6), (5, 0), (5, 5)]"
2025-04-15 09:20:12,O,14.96,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (5, 1), (5, 6), (5, 0), (4, 1), (5, 2), (4, 3), (5, 4), (5, 5), (4, 6), (5, 4), (5, 5), (5, 0), (4, 1), (5, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 3), (5, 2), (5, 0), (4, 1), (4, 2), (3, 3), (4, 4), (4, 5), (4, 6), (4, 4), (4, 5), (5, 0), (4, 1), (4, 2), (3, 3), (3, 4), (3, 5), (4, 6), (3, 4), (2, 4), (5, 0), (4, 1), (4, 2), (3, 3), (1, 4), (3, 5), (4, 6), (4, 2), (3, 5), (5, 0), (4, 1), (3, 2), (3, 3), (1, 4), (2, 5), (4, 6), (4, 1)]"
2025-04-15 09:20:19,X,5.98,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (5, 5), (4, 3), (5, 0), (5, 1), (5, 2), (3, 3), (5, 4), (4, 5), (5, 6), (5, 6), (3, 3), (5, 0), (5, 1), (5, 2), (2, 3), (5, 4), (4, 5), (4, 6), (5, 1), (2, 3)]"
2025-04-15 09:20:26,X,5.42,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (5, 1), (4, 3), (5, 0), (4, 1), (5, 2), (3, 3), (5, 4), (5, 5), (5, 6), (5, 5), (3, 3), (5, 0), (4, 1), (5, 2), (2, 3), (5, 4), (4, 5), (5, 6), (5, 6), (2, 3)]"
2025-04-15 09:20:52,X,24.82,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (5, 6), (5, 0), (4, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (4, 6), (4, 6), (5, 2), (4, 0), (5, 1), (4, 2), (4, 3), (5, 4), (5, 5), (3, 6), (4, 3), (5, 1)]"
